C:\mbw\results\A16_244.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri 18-Jan-2019  5:22
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_250	B04	340	4.9	
 	Unk_251	B05	361	4.7	
 	Unk_252	B06	370	4.7	
 	Unk_253	C01	246	5.7	
 	Unk_254	C02	246	5.7	
 	Unk_255	C03	204	6.3	
 	Unk_256	C04	211	6.2	
 	Unk_257	C05	194	6.4	
 	Unk_258	C06	167	6.9	
 	Unk_259	D01	166	6.9	
 	Unk_260	D02	181	6.6	
 	Unk_261	D03	196	6.4	
 	Unk_262	D04	174	6.8	
 	Unk_263	D05	191	6.5	
 	Unk_264	D06	205	6.3	
 	Unk_265	A01	181	6.6	
 	Unk_266	A02	207	6.2	
 	Unk_267	A03	220	6.0	
 	Unk_268	A04	232	5.9	
 	Unk_269	A05	194	6.4	
 	Unk_270	A06	183	6.6	
 	Unk_271	B01	170	6.9	
 	Unk_272	B02	177	6.7	
 	Unk_273	B03	185	6.6	
 	Unk_274	B04	216	6.1	
 	Unk_275	B05	206	6.2	
 	Unk_276	B06	209	6.2	
 	Unk_277	C01	197	6.4	
 	Unk_278	C02	200	6.3	
 	Unk_279	C03	226	5.9	
 	Unk_280	C04	242	5.8	
 	Unk_281	C05	288	5.3	
 	Unk_282	C06	276	5.4	
 	Unk_283	D01	338	4.9	
 	Unk_284	D02	307	5.1	
 	Unk_285	D03	381	4.6	
 	Unk_286	D04	359	4.7	
 	Unk_287	D05	241	5.8	
 	Unk_288	D06	241	5.8	
 	Unk_289	A01	175	6.8	
 	Unk_290	A02	195	6.4	
 	Unk_291	A03	162	7.0	
 	Unk_292	A04	177	6.7	
 	Unk_293	A05	181	6.6	
 	Unk_294	A06	162	7.0	
 	Unk_295	B01	231	5.9	
 	Unk_296	B02	256	5.6	
 	Unk_297	B03	248	5.7	
 	Unk_298	B04	267	5.5	
