C:\mbw\results\A16_272.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Tue  5-Mar-2019  6:04
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_273	B03	314	5.0	
 	Unk_274	B04	295	5.2	
 	Unk_275	B05	285	5.3	
 	Unk_276	B06	298	5.2	
 	Unk_277	C01	311	5.1	
 	Unk_278	C02	287	5.3	
 	Unk_279	C03	295	5.2	
 	Unk_280	C04	300	5.2	
 	Unk_281	C05	295	5.2	
 	Unk_282	C06	313	5.1	
 	Unk_283	D01	281	5.3	
 	Unk_284	D02	272	5.4	
 	Unk_285	D03	319	5.0	
 	Unk_286	D04	286	5.3	
 	Unk_287	D05	360	4.7	
 	Unk_288	D06	401	4.5	
 	Unk_289	A01	379	4.6	
 	Unk_290	A02	407	4.4	
 	Unk_291	A03	442	4.3	
 	Unk_292	A04	416	4.4	
 	Unk_293	A05	407	4.4	
 	Unk_294	A06	452	4.2	
 	Unk_295	B01	387	4.5	
 	Unk_296	B02	395	4.5	
 	Unk_297	B03	381	4.6	
 	Unk_298	B04	415	4.4	
 	Unk_299	B05	376	4.6	
 	Unk_300	B06	441	4.3	
 	Unk_301	C01	436	4.3	
 	Unk_302	C02	434	4.3	
 	Unk_303	C03	331	4.9	
 	Unk_304	C04	320	5.0	
 	Unk_305	C05	18	21.1	
 	Unk_306	C06	19	20.4	
 	Unk_307	D01	384	4.6	
 	Unk_308	D02	377	4.6	
 	Unk_309	D03	415	4.4	
 	Unk_310	D04	449	4.2	
 	Unk_311	D05	385	4.6	
 	Unk_312	D06	353	4.8	
 	Unk_313	A01	358	4.7	
 	Unk_314	A02	331	4.9	
 	Unk_315	A03	260	5.5	
 	Unk_316	A04	271	5.4	
 	Unk_317	A05	254	5.6	
 	Unk_318	A06	263	5.5	
 	Unk_319	B01	256	5.6	
 	Unk_320	B02	261	5.5	
 	Unk_321	B03	340	4.9	
 	Unk_322	B04	297	5.2	
 	Unk_323	B05	315	5.0	
 	Unk_324	B06	327	4.9	
 	Unk_325	C01	401	4.5	
 	Unk_326	C02	412	4.4	
 	Unk_327	C03	302	5.1	
 	Unk_328	C04	326	5.0	
 	Unk_329	C05	330	4.9	
 	Unk_330	C06	331	4.9	
 	Unk_331	D01	347	4.8	
 	Unk_332	D02	361	4.7	
 	Unk_333	D03	401	4.5	
 	Unk_334	D04	356	4.7	
 	Unk_335	D05	364	4.7	
 	Unk_336	D06	359	4.7	
 	Unk_337	A01	316	5.0	
 	Unk_338	A02	295	5.2	
 	Unk_339	A03	286	5.3	
 	Unk_340	A04	278	5.4	
 	Unk_341	A05	280	5.3	
 	Unk_342	A06	266	5.5	
 	Unk_343	B01	252	5.6	
 	Unk_344	B02	273	5.4	
 	Unk_345	B03	262	5.5	
 	Unk_346	B04	261	5.5	
 	Unk_347	B05	267	5.5	
 	Unk_348	B06	254	5.6	
 	Unk_349	C01	380	4.6	
 	Unk_350	C02	388	4.5	
 	Unk_351	C03	351	4.8	
 	Unk_352	C04	373	4.6	
 	Unk_353	C05	256	5.6	
 	Unk_354	C06	282	5.3	
 	Unk_355	D01	256	5.6	
 	Unk_356	D02	254	5.6	
 	Unk_357	D03	294	5.2	
 	Unk_358	D04	313	5.1	
 	Unk_359	D05	361	4.7	
 	Unk_360	D06	367	4.7	
 	Unk_361	A01	373	4.6	
 	Unk_362	A02	405	4.4	
 	Unk_363	A03	344	4.8	
